candidate,count
#35719,2
#6000,2
#38547,2
#105806,3
#45714,2
#146537,2
#46924,2
#100371,2
#131725,2
#75627,2
#10030,2
#147030,2
#101273,2
#83960,2
#126426,2
#121638,2
#61542,2
#124829,2
#8007,2
#99816,2
#66982,2
#8066,2
#49641,2
#118584,2
#94097,2
#24706,2
#7170,2
#22898,2
#90356,2
#47148,9
#88254,2
#99098,2
#92342,2
#63322,2
#122075,2
#146200,2
#142380,2
#64066,2
#41512,2
#14270,2
#66014,2
#38492,2
#63230,2
#3825,2
#43245,2
#115415,2
#138974,2
#92804,2
#68301,2
#98949,2
#116816,2
#81334,2
#137502,3
#75407,2
#50662,2
#45387,2
#20584,2
#3699,2
#136249,2
#106002,2
#66515,2
#85366,2
#111152,2
#89777,2
#47166,2
#46925,2
#123422,2
#142343,2
#81893,2
#98012,2
#60943,2
#53391,2
#108309,2
#58250,2
#145618,2
#103029,2
#81194,2
#15228,2
#146989,2
#115507,2
#21634,2
#12992,2
#131440,2
#142494,2
#34676,2
#2532,2
#123773,2
#37633,2
#63525,2
#122882,2
#111651,2
#123681,2
#77212,3
#125475,2
#12804,2
#78606,2
#125921,2
#88727,2
#64571,2
#56683,2
#119160,2
#83995,2
#145476,2
#12369,2
#104820,2
#145467,2
#85422,2
#91985,2
#100868,2
#127599,2
#119605,2
#87145,2
#20694,3
#60859,2
#59531,2
#61953,3
#55938,2
#111015,2
#78163,2
#91818,2
#56956,2
#127652,2
#135167,2
#56310,2
#42707,2
#137806,2
#74695,2
#57409,2
#83038,2
#60652,2
#105735,2
#130036,2
#117268,2
#93904,3
#20646,3
#118824,2
#116310,2
#12971,2
#96969,2
#81263,2
#48141,4
#100045,2
#93806,2
#74740,3
#132627,2
#148909,2
#19756,2
#102675,2
#115674,2
#100775,2
#89106,2
#106636,2
#100607,2
#136125,2
#86624,2
#46392,2
#4159,2
#44518,2
#88055,2
#139411,2
#92955,2
#119359,2
#76131,2
#43083,3
#76660,2
#82912,2
#149662,2
#50655,2
#37749,2
#11488,2
#44608,2
#100308,2
#94918,4
#109420,2
#117346,2
#76028,2
#138836,2
#45189,2
#30358,2
#144510,2
#97628,2
#77625,2
#30523,2
#67868,2
#24663,2
#147449,2
#50195,2
#115923,2
#25004,2
#33486,2
#23173,2
#118229,2
#127237,2
#46871,2
#30645,2
#118244,2
#90620,2
#37690,2
#6317,2
#24454,2
#101181,2
#136056,2
#134256,2
#111305,2
#110289,2
#84416,2
#147944,2
#129180,2
#149157,2
#12630,2
#19654,2
#16453,2
#14861,2
#119703,3
#116119,2
#86434,2
#22127,2
#47556,2
#29893,2
#106001,2
#147741,2
#56741,2
#49247,2
#45611,2
#73512,3
#79002,2
#96545,2
#98155,2
#25835,2
#37242,2
#67655,2
#121577,2
#110722,3
#21934,2
#93339,4
#79274,2
#54334,2
#41421,2
#71037,2
#50868,2
#94296,2
#92625,2
#16967,2
#86013,2
#112730,3
#102310,4
#42936,2
#26023,2
#47934,2
#43764,2
#73472,2
#52180,2
#111610,2
#78224,3
#57716,2
#22170,2
#75567,2
#124803,2
#29653,3
#85483,2
#23794,2
#105161,2
#104047,2
#121057,2
#84649,2
#99260,2
#28900,2
#45438,2
#84887,2
#43114,2
#4195,2
#81656,3
#38951,3
#56019,2
#116053,2
#94871,2
#5426,2
#25349,2
#134425,2
#48800,2
#74969,2
#83398,3
#11330,2
#109134,2
#62921,2
#66013,2
#79252,2
#82272,3
#121966,2
#117939,2
#83315,2
#140539,2
#148003,2
